location,total_cases,total_deaths,total_vaccinations,population,Mortality Rate (%),Vaccination Rate (%)
Portugal,2689167.0,19905.0,22352429.0,10270857.0,0.74,217.63
Puerto Rico,0.0,0.0,0.0,3252412.0,,0.0
Qatar,339147.0,645.0,5819013.0,2695131.0,0.19,215.91
Romania,2216525.0,60025.0,16432047.0,19659270.0,2.71,83.58
Russia,11670366.0,324672.0,154374065.0,144713312.0,2.78,106.68
Rwanda,128891.0,1440.0,16555832.0,13776702.0,1.12,120.17
Saint Helena,4.0,0.0,7892.0,5401.0,0.0,146.12
Saint Kitts and Nevis,5422.0,33.0,56698.0,47681.0,0.61,118.91
Saint Lucia,20942.0,328.0,108090.0,179872.0,1.57,60.09
Saint Pierre and Miquelon,891.0,0.0,0.0,5885.0,0.0,0.0
Saint Vincent and the Grenadines,9447.0,94.0,64440.0,103959.0,1.0,61.99
Samoa,32.0,0.0,267016.0,222390.0,0.0,120.07
San Marino,12884.0,109.0,63366.0,33690.0,0.85,188.09
Sao Tome and Principe,5890.0,69.0,182238.0,227393.0,1.17,80.14
Saudi Arabia,687264.0,8940.0,57328405.0,36408824.0,1.3,157.46
Scotland,0.0,0.0,11844646.0,5466000.0,,216.7
Senegal,84999.0,1946.0,1923773.0,17316452.0,2.29,11.11
Serbia,1677798.0,13629.0,8402695.0,6871547.0,0.81,122.28
Seychelles,37190.0,154.0,190758.0,107135.0,0.41,178.05
Sierra Leone,7623.0,125.0,1409313.0,8605723.0,1.64,16.38
Singapore,352811.0,855.0,13006440.0,5637022.0,0.24,230.73
Sint Maarten (Dutch part),0.0,0.0,60098.0,44192.0,,135.99
Slovakia,1569299.0,17830.0,5635086.0,5643455.0,1.14,99.85
Slovenia,710821.0,5866.0,2915311.0,2119843.0,0.83,137.52
Solomon Islands,1183.0,9.0,271063.0,724272.0,0.76,37.43
Somalia,25388.0,1335.0,1610500.0,17597508.0,5.26,9.15
South Africa,3605222.0,95093.0,29884699.0,59893884.0,2.64,49.9
South America,48594520.0,1215879.0,721218796.0,436816679.0,2.5,165.11
South Korea,864042.0,6772.0,114604100.0,51815808.0,0.78,221.18
South Sudan,16794.0,137.0,342153.0,10913172.0,0.82,3.14
Spain,9961253.0,93225.0,90272896.0,47558632.0,0.94,189.81
Sri Lanka,611185.0,15441.0,35764626.0,21832150.0,2.53,163.82
Sudan,57632.0,3441.0,3718299.0,46874200.0,5.97,7.93
Suriname,73769.0,1263.0,497428.0,618046.0,1.71,80.48
Sweden,2070456.0,15855.0,19520828.0,10549349.0,0.77,185.04
